X,Y,Z,State
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
2.390194472,3.864387279,1.334141009,0
2.384484338,3.854631619,1.307652048,0
2.361314239,3.841622495,1.300722722,0
2.337728302,3.841622495,1.291050041,0
2.325788355,3.841622495,1.27796921,0
2.307693974,3.830449513,1.264515309,0
2.301632687,3.830449513,1.263489279,1
2.277133894,3.828585461,1.263489279,1
2.252321823,3.828585461,1.25579959,1
2.227226703,3.828585461,1.240417759,1
2.214582542,3.828585461,1.240417759,1
2.189120275,3.828585461,1.239007682,1
2.16345196,3.828585461,1.239007682,1
2.124631619,3.828585461,1.237784994,1
2.098585461,3.828585461,1.228236817,1
2.03312088,3.828585461,1.228236817,1
2.02,3.828585461,1.22493351,1
2.004955332,3.828585461,1.223383659,1
1.984849691,3.828585461,1.223383659,1
1.958176915,3.830449513,1.223383659,1
1.94327721,3.835103978,1.258399908,1
1.915368381,3.835103978,1.258399908,1
1.907146522,3.841622495,1.270615387,1
1.902391128,3.841622495,1.258399908,1
1.850879725,3.867608872,1.270615387,1
1.825417458,3.867608872,1.418375113,1
1.808044219,3.867608872,1.418375113,1
1.756961458,3.867608872,1.440847221,1
1.750575675,3.867608872,1.496012575,1
1.690428534,3.876949674,1.491781669,1
1.616068587,3.880550299,1.491781669,1
1.578366828,3.883046709,1.491781669,1
1.567549923,3.883046709,1.473741905,1
1.557140032,3.88700113,1.473741905,1
1.546943193,3.908396841,1.473741905,1
1.546871134,3.931850734,1.454528408,0
1.546871134,3.932811772,1.454528408,0
1.546943193,3.939622141,1.454528408,0
1.488390609,3.942116784,1.454528408,0
1.488390609,3.95519384,1.439769733,0
1.488390609,3.95519384,1.436648465,0
1.488390609,4.096096659,1.355743092,0
1.490319743,4.142804276,1.355743092,0
1.500025735,4.151777894,1.355743092,0
1.563914474,4.16659449,1.355743092,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
